Bidang,Major Project,Nama Jabatan/Bidang,Jenis Jabatan,Tugas,Level Competency Permenpan 38 Tahun 2017,Level Competency SKKNI,,,,,,,,,,,,,,,,,
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Direktur Event Daerah,JPT,"melaksanakan penyiapan koordinasi dan sinkronisasi perumusan, penetapan, dan pelaksanaan serta pengendalian pelaksanaan kebijakan Kementerian/Lembaga yang terkait dengan isu di bidang strategi dan kebijakan percepatan investasi.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Bidang Pemasaran Pariwisata Nusantara,JPT,"perumusan dan pelaksanaan kebijakan teknis,
 penyusunan norma, standar, prosedur, dan kriteria,
 pemberian bimbingan teknis dan supervisi, pemantauan,
 analisis, evaluasi, dan pelaporan di bidang pemasaran
 pariwisata wilayah Indonesia",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi","Bidang Industri, Perdagangan, Pariwisata, dan Ekonomi Kreatif",JPT,"Melaksanakan pengolahan data dan informasi kebijakan, analisis perkembangan pelaksanaan kebijakan, dan penyerapan pandangan di bidang industri, perdagangan, pariwisata, dan ekonomi kreatif.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Bidang Usaha dan Investasi,JPT,"melaksanakan perumusan dan pelaksanaan kebijakan,
 penyusunan norma, standar, prosedur, dan kriteria,
 pemberian bimbingan teknis dan supervisi, serta evaluasi dan
 pelaporan di bidang peningkatan keberlanjutan usaha dan
 investasi meliputi pemetaan dan peluang investasi, pelayanan
 dan kemitraan usaha, akses permodalan, serta
 kewirausahaan dan kelembagaan usaha kelautan dan
 perikanan.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Bidang Logistik,JPT,"melaksanakan
 perumusan dan pelaksanaan kebijakan, penyusunan
 norma, standar, prosedur, dan kriteria, pemberian
 bimbingan teknis dan supervisi, serta evaluasi dan
 pelaporan di bidang peningkatan sistem logistik meliputi
 pemetaan dan pemantauan, tata niaga, pengadaan dan
 penyimpanan, serta distribusi logistik hasil kelautan dan
 perikanan.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Bidang Pengolahan dan Bina Mutu,JPT,"melaksanakan perumusan dan pelaksanaan kebijakan,
 penyusunan norma, standar, prosedur, dan kriteria,
 pemberian bimbingan teknis dan supervisi, serta evaluasi
 dan pelaporan di bidang pengolahan dan pembinaan mutu
 meliputi standardisasi, industri skala mikro, kecil,
 menengah, dan besar, serta diversifikasi hasil kelautan dan
 perikanan.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Pengawas Mutu Hasil Pertanian,JF,Melakukan pengawasan dan pengujian mutu hasil pertanian serta pengembangan sistem pengawasan dan pengujian,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Perencana,JF,"mempunyai ruang lingkup tugas, tanggung jawab, dan wewenang, untuk melaksanakan kegiatan perencanaan pembangunan di Instansi Pusat dan Instansi Daerah",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Pariwisata,"10 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Adyatama Kepariwisataan dan Ekonomi Kreatif,JF,Memelopori dan melaksanakan Pengelolaan dan Pengembangan Kepariwisataan dan Ekonomi Kreatif,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Pariwisata,"11 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Perencana,JF,"mempunyai ruang lingkup tugas, tanggung jawab, dan wewenang, untuk melaksanakan kegiatan perencanaan pembangunan di Instansi Pusat dan Instansi Daerah",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Pariwisata,"12 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Kebudayaan,JPT,"Merumuskan kebijakan, melaksanaan kebijakan, melaksanakan evaluasi dan pelaporan dan melaksanakan administrasi di bidang kebudayaan.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"13 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Pariwisata,JPT,"Merumuskan kebijakan, melaksanaan kebijakan, melaksanakan evaluasi dan pelaporan dan melaksanakan administrasi di bidang pariwisata.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"14 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Industri dan Investasi,JPT,menyelenggarakan perumusan dan pelaksanaan kebijakan teknis pengembangan industri dan investasi,Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"15 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Pemasaran,JPT,menyelenggarakan perumusan dan pelaksanaan kebijakan teknis pemasaran,Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"16 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Produk Wisata dan Penyelenggara Kegiatan (Events),JPT,menyelenggarakan perumusan dan pelaksanaan kebijakan teknis pengembangan produk wisata dan penyelenggaraan kegiatan,Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"17 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Ekonomi Digital dan Produk Kreatif,JPT,"menyelenggarakan perumusan dan
 pelaksanaan kebijakan teknis pengembangan ekonomi
 digital dan produk kreatif",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"18 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Pengembangan Sumber Daya Manusia Pariwisata,JPT,"perumusan dan pelaksanaan kebijakan teknis, penyusunan norma, standar, prosedur, dan kriteria, pemberian bimbingan teknis dan supervisi, pemantauan, analisis, evaluasi, dan pelaporan di bidang pengembangan sumber daya manusia pariwisata",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"19 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Pengembangan Sumber Daya Manusia Ekonomi Kreatif,JPT,"perumusan dan pelaksanaan kebijakan teknis, penyusunan norma, standar, prosedur, dan kriteria, pemberian bimbingan teknis dan supervisi, pemantauan, analisis, evaluasi, dan pelaporan di bidang pengembangan sumber daya manusia ekonomi kreatif",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"20 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai:",Bidang Tata Kelola Destinasi,JPT,"perumusan dan pelaksanaan kebijakan teknis, penyusunan norma, standar, prosedur, dan kriteria, pemberian bimbingan teknis dan supervisi, pemantauan, analisis, evaluasi, dan pelaporan di bidang tata kelola destinasi, serta perintisan dan pembinaan badan pelaksana otorita pariwisata",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"21 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Infrastruktur Ekonomi Kreatif,JPT,"perumusan dan pelaksanaan kebijakan teknis, penyusunan norma, standar, prosedur, dan kriteria, pemberian bimbingan teknis dan supervisi, pemantauan, analisis, evaluasi, dan pelaporan dimbidang infrastruktur ekonomi kreatif",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"22 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Manajemen Industri,JPT,"perumusan
 dan pelaksanaan kebijakan teknis, pemantauan, analisis,
 evaluasi, dan pelaporan di bidang manajemen industri",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"23 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Manajemen Investasi,JPT,"perumusan dan pelaksanaan kebijakan teknis, pemantauan, www.jdih.kemenparekraf.go.id - 40- analisis, evaluasi, dan pelaporan di bidang manajemen investasi, serta fasilitasi pembentukan kawasan ekonomi khusus di bidang pariwisata dan ekonomi kreatif.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"24 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Akses Pembiayaan,JPT,"perumusan dan pelaksanaan kebijakan teknis, pemantauan, analisis, evaluasi, dan pelaporan di bidang akses pembiayaan pariwisata dan ekonomi kreatif.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"25 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Fasilitasi Kekayaan Intelektual,JPT,"perumusan dan pelaksanaan kebijakan teknis, pemantauan, analisis, evaluasi, dan pelaporan di bidang pengembangan kekayaan intelektual industri kreatif",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"26 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Standardisasi dan Sertifikasi Usaha,JPT,"perumusan dan pelaksanaan kebijakan teknis,
 pemantauan, analisis, evaluasi, dan pelaporan di bidang
 standardisasi dan sertifikasi usaha pariwisata dan ekonomi
 kreatif.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"27 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Komunikasi Pemasaran,JPT,"perumusan dan pelaksanaan kebijakan teknis, penyusunan
 norma, standar, prosedur, dan kriteria, pemberian bimbingan
 teknis dan supervisi, pemantauan, analisis, evaluasi, dan
 pelaporan di bidang komunikasi pemasaran destinasi
 pariwisata dan produk ekonomi kreatif.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"28 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Pemasaran Pariwisata Nusantara,JPT,"perumusan dan pelaksanaan kebijakan teknis,
 penyusunan norma, standar, prosedur, dan kriteria,
 pemberian bimbingan teknis dan supervisi, pemantauan,
 analisis, evaluasi, dan pelaporan di bidang pemasaran
 pariwisata wilayah Indonesia",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"29 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Pemasaran Ekonomi Kreatif,JPT,"perumusan dan pelaksanaan kebijakan teknis, pemantauan,
 analisis, evaluasi, dan pelaporan di bidang pemasaran
 ekonomi kreatif.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"30 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Wisata Minat Khusus,JPT,"perumusan dan pelaksanaan kebijakan teknis, pemantauan, analisis, evaluasi, dan pelaporan di bidang peningkatan kerja sama dan kapasitas pemangku kepentingan, pengembangan produk, konten, aktivitas, serta publikasi dan promosi wisata minat khusus di dalam dan luar negeri.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"31 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai","Bidang Pertemuan, Insentif, Konvensi, dan Pameran",JPT,"perumusan dan pelaksanaan kebijakan teknis, pemantauan, evaluasi, dan pelaporan di bidang pertemuan, insentif, konvensi, dan pameran.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"32 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Event Nasional dan Internasional,JPT,"perumusan dan pelaksanaan kebijakan teknis,
 pemantauan, analisis, evaluasi, dan pelaporan di bidang
 strategi dan promosi, peningkatan jejaring dan fasilitasi
 pemangku kepentingan, dan penyelenggaraan event nasional
 dan internasional",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"33 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Event Daerah,JPT,"perumusan dan pelaksanaan kebijakan teknis, serta pemantauan, analisis,
 evaluasi, dan pelaporan di bidang strategi dan promosi,
 peningkatan jejaring, fasilitasi pemangku kepentingan event
 daerah.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"34 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Tata Kelola Ekonomi Digital,JPT,"perumusan dan pelaksanaan kebijakan teknis, pemantauan,
 analisis, evaluasi, dan pelaporan di bidang penguatan tata
 kelola dan fasilitasi pemangku kepentingan ekonomi digital",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"35 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai","Bidang Aplikasi, Permainan, TV, dan Radio",JPT,"perumusan dan pelaksanaan kebijakan
 teknis, pemantauan, analisis, evaluasi, dan pelaporan di
 bidang penciptaan talenta, penguatan kreasi, dan fasilitasi
 pemangku kepentingan di bidang aplikasi, permainan,
 televisi, dan radio.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"36 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai","Bidang Kuliner, Kriya, Desain, dan Fesyen",JPT,"perumusan dan pelaksanaan kebijakan teknis,
 pemantauan, analisis, evaluasi, dan pelaporan di bidang
 penciptaan talenta, penguatan kreasi, dan fasilitasi pemangku
 kepentingan di bidang kuliner, kriya, desain interior,
 arsitektur, desain komunikasi visual, desain produk, dan
 fesyen.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"37 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai","Bidang Musik, Film, dan Animasi",JPT,"perumusan dan pelaksanaan kebijakan teknis, pemantauan,
 analisis, evaluasi, dan pelaporan di bidang penciptaan
 talenta, penguatan kreasi, dan fasilitasi pemangku
 kepentingan di bidang seni musik, film, animasi, video,
 fotografi, periklanan, penerbitan, seni pertunjukan, dan seni
 rupa.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"38 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai","Bidang Industri, Perdagangan, Pariwisata, dan Ekonomi Kreatif",JPT,"melaksanakan pengolahan data dan informasi kebijakan, analisis perkembangan pelaksanaan kebijakan, dan penyerapan pandangan di bidang industri, perdagangan, pariwisata, dan ekonomi kreatif.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Pariwisata,"39 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Bidang Pengembangan Kekayaan Intelektual Industri Kreatif,JPT,"perumusan dan pelaksanaan
 kebijakan teknis, pemantauan, analisis, evaluasi, dan
 pelaporan di bidang pengembangan kekayaan intelektual
 industri kreatif.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Industri,9 Kawasan industri di luar Jawa dan 31 Smelter,Pengawas jaminan produk halal,Future Job,melakukan pengawasan terhadap JPH. Salah satu hal yang harus dipenuhi pengawas JPH adalah menjaga kerahasiaan formula produk sebagai informasi yang diserahkan oeh pelaku usaha kepadanya.,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Industri,10 Kawasan industri di luar Jawa dan 31 Smelter,Manajer hubungan industrial,Future Job,"Mengatur, merencanakan dan mengkoordinir kebijakan yang berhubungan dengan kegiatan hubungan industrial perusahaan atau organisasi serta bertugas mengadakan konsultasi dengan manajer dari departemen atau bagian lain",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Industri,11 Kawasan industri di luar Jawa dan 31 Smelter,Perencana,JF,"mempunyai ruang lingkup tugas, tanggung jawab, dan wewenang, untuk melaksanakan kegiatan perencanaan pembangunan di Instansi Pusat dan Instansi Daerah",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
