Bidang,Major Project,Nama Jabatan/Bidang,Jenis Jabatan,Tugas,Level Competency Permenpan 38 Tahun 2017,Level Competency SKKNI
Perikanan,Revitalisasi Tambak di Kawasan Sentra Produksi Udang dan Bandeng,Analis Akuakultur,JF,"melaksanakan Analisis dan Pengelolaan Perikanan Budidaya yang meliputi persiapan, pelaksanaan, evaluasi dan rekomendasi.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Pembangunan Wilayah Batam – Bintan,Teknis Pengairan,JF,"Melaksanakan pengembangan dan pengelolaan sumber daya air, irigasi, sungai serta rawa dan pantai.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Pembangunan Wilayah Batam – Bintan,Teknik Penyehatan Lingkungan,JF,"Melaksanakan penyelenggaraan pengelolaan air minum, air limbah, sampah dan air drainase",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Pembangunan Wilayah Batam – Bintan,Perencana,JF,"mempunyai ruang lingkup tugas, tanggung jawab, dan wewenang, untuk melaksanakan kegiatan perencanaan pembangunan di Instansi Pusat dan Instansi Daerah",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Penyuluh Lingkungan Hidup,JF,"Melaksanakan kegiatan Penyuluhan Lingkungan Hidup meliputi persiapan, pelaksanaan, pengembangan, pemantauan, evaluasi dan pelaporan penyuluhan lingkungan hidup",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Teknis Pengairan,JF,"Melaksanakan pengembangan dan pengelolaan sumber daya air, irigasi, sungai serta rawa dan pantai.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Teknik Penyehatan Lingkungan,JF,"Melaksanakan penyelenggaraan pengelolaan air minum, air limbah, sampah dan air drainase",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Perencana,JF,"mempunyai ruang lingkup tugas, tanggung jawab, dan wewenang, untuk melaksanakan kegiatan perencanaan pembangunan di Instansi Pusat dan Instansi Daerah",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Ibu Kota Negara (IKN),Penyuluh Lingkungan Hidup,JF,"Melaksanakan kegiatan Penyuluhan Lingkungan Hidup meliputi persiapan, pelaksanaan, pengembangan, pemantauan, evaluasi dan pelaporan penyuluhan lingkungan hidup",Kompetensi JF Level 2 - 4,Kompetensi Level 7
Infrastruktur,Ibu Kota Negara (IKN),Teknis Pengairan,JF,"Melaksanakan pengembangan dan pengelolaan sumber daya air, irigasi, sungai serta rawa dan pantai.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Ibu Kota Negara (IKN),Teknik Penyehatan Lingkungan,JF,"Melaksanakan penyelenggaraan pengelolaan air minum, air limbah, sampah dan air drainase",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Ibu Kota Negara (IKN),Perencana,JF,"menyiapkan, mengkaji, merumuskan kebijakan dan menyusun rencana pembangunan pada instansi pemerintah secara teratur dan sistematis, termasuk mengendalikan, memantau, dan mengevaluasi pelaksanaan rencana pembangunan.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Kota Baru: Maja, Tanjung Selor, Sofifi, dan Sorong",Teknis Pengairan,JF,"Melaksanakan pengembangan dan pengelolaan sumber daya air, irigasi, sungai serta rawa dan pantai.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Kota Baru: Maja, Tanjung Selor, Sofifi, dan Sorong",Teknik Penyehatan Lingkungan,JF,"Melaksanakan pengembangan dan pengelolaan sumber daya air, irigasi, sungai serta rawa dan pantai.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Kota Baru: Maja, Tanjung Selor, Sofifi, dan Sorong",Perencana,JF,"Melaksanakan penyelenggaraan pengelolaan air minum, air limbah, sampah dan air drainase",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Bencana,"Pemulihan Pasca Bencana: (Kota Palu dan Sekitarnya, Pulau Lombok dan Sekitarnya, serta Kawasan Pesisir Selat Sunda)",Analis Kebencanaan,JF,"mempunyai tugas melaksanakanpenyusunan kebijakan teknis, pelaksanaan, dan pemantauan, evaluasi, dan pelaporan di bidang pendidikan sumber daya manusia kesehatan.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Bencana,"Pemulihan Pasca Bencana: (Kota Palu dan Sekitarnya, Pulau Lombok dan Sekitarnya, serta Kawasan Pesisir Selat Sunda)",Perencana,JF,"menyiapkan, mengkaji, merumuskan kebijakan dan menyusun rencana pembangunan pada instansi pemerintah secara teratur dan sistematis, termasuk mengendalikan, memantau, dan mengevaluasi pelaksanaan rencana pembangunan.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Bencana,"Pusat Kegiatan Strategis Nasional: PKSN Paloh-Aruk, PKSN Nunukan, PKSN Atambua, PKSN Kefamenanu, PKSN Jayapura, & PKSN Merauke",Perencana,JF,"menyiapkan, mengkaji, merumuskan kebijakan dan menyusun rencana pembangunan pada instansi pemerintah secara teratur dan sistematis, termasuk mengendalikan, memantau, dan mengevaluasi pelaksanaan rencana pembangunan.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Kesehatan,Percepatan Penurunan Kematian Ibu dan Stunting,Nutrisionis,JF,"Merumuskan kebijakan, melaksanaan kebijakan, melaksanakan evaluasi dan pelaporan dan melaksanakan administrasi di bidang Pengendalian Penduduk dan Keluarga Berencana",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur/Pendidikan,Pembangunan Science Techno Park (Optimalisasi Triple Helix di 4 Major Universitas),Perencana,JF,"menyiapkan, mengkaji, merumuskan kebijakan dan menyusun rencana pembangunan pada instansi pemerintah secara teratur dan sistematis, termasuk mengendalikan, memantau, dan mengevaluasi pelaksanaan rencana pembangunan.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Pendidikan,Pendidikan dan Pelatihan Vokasi untuk Industri 4.3,Pengembang Teknologi Pembelajaran,JF,"melaksanakan kegiatan Pengembangan Standar, Penerapan Standar dan Penilaian Kesesuaian, dan Akreditasi Lembaga Penilaian Kesesuaian",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Sosial,Integrasi Bantuan Sosial Menuju Skema Perlindungan Sosial Menyeluruh,Pekerja Sosial,JF,menyelenggarakan perumusan dan pelaksanaan kebijakan di bidang pembinaan pengawasan ketenagakerjaan serta keselamatan dan kesehatan kerja.,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Jalan Tol Trans Sumatera Aceh – Lampung,Teknis Pengairan,JF,"Melaksanakan pengembangan dan pengelolaan sumber daya air, irigasi, sungai serta rawa dan pantai.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Jalan Tol Trans Sumatera Aceh – Lampung,Teknik Penyehatan Lingkungan,JF,"Melaksanakan penyelenggaraan pengelolaan air minum, air limbah, sampah dan air drainase",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Informatika,Infrastruktur TIK untuk mendukung Transformasi Digital,Pranata Komputer,JF,"melaksanakan kegiatan teknologi informasi berbasis komputer yang meliputi tata kelola dan tata laksana teknologi informasi, infrastruktur teknologi informasi, serta sistem informasi dan multimedia",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Kelautan,Pengamanan Pesisir 5 Perkotaan Pantura Jawa,Polisi Pamong Praja,JF,Penegakan perda dan penyelenggaraan ketertiban umum dan ketentraman masyarakat,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,18 Waduk Multiguna,Teknis Pengairan,JF,"Melaksanakan pengembangan dan pengelolaan sumber daya air, irigasi, sungai serta rawa dan pantai.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,19 Waduk Multiguna,Teknik Penyehatan Lingkungan,JF,"Melaksanakan penyelenggaraan pengelolaan air minum, air limbah, sampah dan air drainase",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Jalan Trans pada 18 Pulau Tertinggal, Terluar, dan Terdepan",Teknis Pengairan,JF,"Melaksanakan pengembangan dan pengelolaan sumber daya air, irigasi, sungai serta rawa dan pantai.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9
Infrastruktur,"Jalan Trans pada 18 Pulau Tertinggal, Terluar, dan Terdepan",Teknik Penyehatan Lingkungan,JF,"Melaksanakan penyelenggaraan pengelolaan air minum, air limbah, sampah dan air drainase",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9
Infrastruktur,Jalan Trans Papua Merauke -Sorong,Teknis Pengairan,JF,"Melaksanakan pengembangan dan pengelolaan sumber daya air, irigasi, sungai serta rawa dan pantai.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Jalan Trans Papua Merauke -Sorong,Teknik Penyehatan Lingkungan,JF,"Melaksanakan penyelenggaraan pengelolaan air minum, air limbah, sampah dan air drainase",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Akses Air Minum Perpipaan (10 Juta Sambungan Rumah),Teknis Pengairan,JF,"Melaksanakan pengembangan dan pengelolaan sumber daya air, irigasi, sungai serta rawa dan pantai.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Akses Air Minum Perpipaan (10 Juta Sambungan Rumah),Teknik Penyehatan Lingkungan,JF,"Melaksanakan penyelenggaraan pengelolaan air minum, air limbah, sampah dan air drainase",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Rumah Susun Perkotaan (1 Juta),Teknis Pengairan,JF,"Melaksanakan pengembangan dan pengelolaan sumber daya air, irigasi, sungai serta rawa dan pantai.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Rumah Susun Perkotaan (1 Juta),Teknik Penyehatan Lingkungan,JF,"Melaksanakan penyelenggaraan pengelolaan air minum, air limbah, sampah dan air drainase",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Lingkungan Hidup,Pembangunan Fasilitas Pengolahan Limbah B7,Teknis Pengairan,JF,"Melaksanakan pengembangan dan pengelolaan sumber daya air, irigasi, sungai serta rawa dan pantai.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Lingkungan Hidup,Pembangunan Fasilitas Pengolahan Limbah B8,Teknik Penyehatan Lingkungan,JF,"Melaksanakan penyelenggaraan pengelolaan air minum, air limbah, sampah dan air drainase",Kompetensi JF Level 2 - 4,Kompetensi Level 7
Bencana,Penguatan Sistem Peringatan Dini Bencana,Perencana,JF,"mempunyai ruang lingkup tugas, tanggung jawab, dan wewenang, untuk melaksanakan kegiatan perencanaan pembangunan di Instansi Pusat dan Instansi Daerah",Kompetensi JF Level 2 - 4,Kompetensi Level 7
Bencana,Penguatan Sistem Peringatan Dini Bencana,Pranata Komputer,JF,"merencanakan, menganalisis, merancang, mengimplementasikan, mengembangkan dan atau mengoperasikan sistem informasi berbasis komputer",Kompetensi JF Level 2 - 4,Kompetensi Level 7
Bencana,Penguatan NSOC - SOC dan Pembentukan 121 CSIRT,Manggala Informatika,JF,melaksanakan kegiatan penerapan sistem manajemen keamanan informasi,Kompetensi JF Level 2 - 4,Kompetensi Level 7
Kelautan,Penguatan Keamanan Laut di Natuna,Polisi khusus wilayah pesisir dan pulau-pulau kecil,JF,melaksanakan analisis pengusahaan jasa kelautan,Kompetensi JF Level 2 - 4,Kompetensi Level 7
Kelautan,Penguatan Keamanan Laut di Natuna,Pengawas Keselamatan Pelayaran,JF,"perencanaan pengawasan keselamatan pelayaran, kenavigasian, pemeriksaan kelaiklautan kapal dan manajemen keselamatan kapal, pemanduan, penegakan hukum di laut dan penyelamatan, kesyahbandaran dan kelancaran lalu lintas angkutan laut.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Visi Reformasi Birokrasi,,Analisis Pengaduan Masyarakat,JF,Melaksanakan Penatakelolaan Perusahaan Negara,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Visi Reformasi Birokrasi,,Analis Hukum,JF,"melakukan kegiatan analisis dan evaluasi di bidang peraturan perundang undangan dan hukum tidak tertulis, pembentukan peraturan perundang-undangan, permasalahan hukum, pengawasan pelaksanaan peraturan perundang-undangan, dokumen perjanjian dan pelaksanaan perjanjian, pelayanan hukum, perizinan, informasi hukum, dan advokasi hukum",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Visi Reformasi Birokrasi,,Analis Pemantauan Peraturan Perundang-undangan Legislatif,JF,melakukan kegiatan Penyuluhan Hukum,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Visi Reformasi Birokrasi,,Penyuluh Hukum,JF,"melaksanakan kegiatan pengaturan, pengawasan, pengendalian dan investigasi di bidang navigasi penerbangan",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Visi Keuangan,,Pembina Profesi Keuangan,JF,Melakukan kegiatan analisis dan penelaahan dalam rangka penyusunan rekomendasi di bidang Pelaporan dan transaksi keuangan,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Visi Keuangan,,Analis Pelaporan dan Transaksi Keuangan,JF,"melaksanakan Analisis Transaksi Keuangan, yang meliputi bidang: Pelaporan; Analisis; Pemeriksaan; Riset; Kerja Sama; Pengawasan Kepatuhan; dan Hukum Anti Pencucian Uang dan Pendanaan Terorisme.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
