Bidang,Major Project,Nama Jabatan/Bidang,Jenis Jabatan,Tugas,Level Competency Permenpan 38 Tahun 2017,Level Competency SKKNI
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Perencana Khusus Kawasan,Future Job,"merencanakan, mempelajari, dan mengkoordinasikan penataan lahan terbangun",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Analis Kewilayahan,Future Job,"mengidentifikasi kebutuhan substansi, melakukan perencanaan pekerjaan, menyusun spesifikasi teknis pekerjaan, memberikan jasa konsultasi, menganalisis informasi geospasial kewilayahan ",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Analis Proyek,Future Job,"Melakukan analis sistem yang akan dibangun, membuat statement of purpose, memodelkan proses bisnis, membuat dokumentasi hasil analisis.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Ahli Perencana Kota dan Kawasan Tematik,Future Job,"menerapkan norma, standar, pedoman, kriteria dalam perencanaan tata ruang wilayah dan kota.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Ahli Teknik Lingkungan,Future Job,"Melakukan penelitian, memberi saran, mendesain dan mengarahkan implementasi solusi untuk mencegah, mengontrol atau mengoreksi dampak negatif kegiatan manusia terhadap lingkungan dengan memanfaatkan berbagai disiplin ilmu teknik",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Auditor Lingkungan,Future Job,"Melakukan audit lingkungan untuk membantu melakukan perbaikan lingkungan; meninjau kinerja lingkungan suatu bisnis untuk memastikan kepatuhan terhadap peraturan dan standar; memastikan bahwa sistem manajemen lingkungan bekerja secara efektif; mengaudit topik tertentu (misalnya minimisasi imbah, air atau efisiensi energi) untuk mengidentifikasi potensi peluang penghematan biaya; meninjau kinerja pemasok atau kontraktor; melakukan audit dampak produksi, penggunaannya, pembuangan.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Analis Lingkungan,Future Job,"Mengumpulkan, mempelajari dan menganalisa data untuk mengusulkan tindakan dan kebijakan untuk menciptakan interaksi yang lebih ramah lingkungan; melakukan pengumpulan data dan interpretasi, menggunakan informasi untuk menciptakan solusi untuk masalah lingkungan; meneliti sampel yang ikumpulkan di tempat dan melakukan penelitian sejarah untuk menentukan tingkat dan penyebab perubahan lingkungan; melaporkan rekomendasi dan solusi untuk penciptaan kebijakan, ekspansi atau modifikasi prosedur.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Ahli Klimatologi,Future Job,"Mempelajari sifat iklim pada suatu wilayah, dan kaitannya dengan aktivitas manusia; mempelajari perubahan iklim, variabilitas iklim, dan dampak iklim terhadap biosfer; menggunakan komputer untuk memprediksi pengaruh cuaca atau iklim terhadap aktivitas manusia.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Ahli Hidrometeorologi,Future Job,"Pengukuran, analisis dan pemodelan atmosfer dan proses hubungan antara variabel meteorologi dan curah hujan maksimum yang mencapai tanah sebagai dasar untuk desain pengendalian banjir dan struktur penggunaan air, penentuan probabilitas curah hujan, ruang dan waktu distribusi curah hujan dan penguapan, dan lainnya yang terkait.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Ahli Ekologi,Future Job,"Mempelajari ekosistem secara keseluruhan, kelimpahan dan distribusi organisme (manusia, tumbuhan, hewan), dan hubungan antara organisme dan lingkungannya. melakukan survey lapangan untuk mengumpulkan informasi tentang jumlah dan distribusi organisme; mempelajari taksonomi, pengklasifikasian organisme; menerapkan strategi sampling dan menggunakan berbagai teknik survei habitat, seperti Sistem Informasi Geografis (GIS), Global Positioning System (GPS), foto udara, catatan dan peta; melakukan penilaian dampak lingkungan; menganalisis dan menafsirkan data; manajemen dan penciptaan habitat; menulis laporan dan mengeluarkan rekomendasi; bekerjasama dengan dan menasihati manajer, insinyur, perencana dan lain-lain yang terkait dengan survei; membangun hubungan dengan para pemangku kepentingan, termasuk anggota masyarakat; menyumbangkan ide-ide tentang perubahan kebijakan dan / atau undang-undang, berdasarkan temuan ekologi.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Analis Polusi Udara,Future Job,"Melakukan penelitian, memeriksa dan menyelidiki tingkat polusi udara, dan mengambil langkah yang diperlukan untuk memastikan kualitas udara yang baik sehingga masalah kesehatan masyarakat dapat ditangani; Melakukan penelitian, melakukan tes, mengumpulkan sampel, dan melakukan analisis lapangan dan laboratorium untuk mengidentifikasi sumber-sumber masalah lingkungan dan merekomendasikan cara-cara untuk mencegah, mengendalikan dan memperbaiki; menilai kemungkinan kegiatan yang berdampak potensial terhadap lingkungan, dan merekomendasikan apakah perkembangan tersebut harus dilanjutkan; mengembangkan dan mengkoordinasikan pelaksanaan sistem manajemen lingkungan untuk mengidentifikasi, memantau dan mengendalikan dampak dari kegiatan, produk dan jasa terhadap lingkungan; melakukan audit untuk mengevaluasi dampak lingkungan suatu kegiatan.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Ahli Konservasi,Future Job,"Mengelola, meningkatkan, dan melindungi sumber daya alam untuk memaksimalkan penggunaannya tanpa merusak lingkungan; Dapat melakukan survei tanah dan mengembangkan rencana untuk menghilangkan erosi tanah atau untuk melindunginya; memberi saran kepada petani, manajer produksi pertanian, atau peternak tentang cara rotasi tanaman, membajak dengan kontur, atau terasering untuk konservasi tanah dan air; jumlah dan jenis ternak dan tanaman untuk rentang tertentu; dan perbaikan pertanian.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Ibu Kota Negara (IKN),Perencana Khusus Kawasan,Future Job,"merencanakan, mempelajari, dan mengkoordinasikan pembangunan kawasan perkotaan",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Ibu Kota Negara (IKN),Analis Kewilayahan,Future Job,"mengidentifikasi kebutuhan substansi, melakukan perencanaan pekerjaan, menyusun spesifikasi teknis pekerjaan, memberikan jasa konsultasi, menganalisis informasi geospasial kewilayahan ",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Ibu Kota Negara (IKN),Analis Proyek,Future Job,"Melakukan analis sistem yang akan dibangun, membuat statement of purpose, memodelkan proses bisnis, membuat dokumentasi hasil analisis.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Ibu Kota Negara (IKN),Ahli Perencana Kota dan Kawasan Tematik,Future Job,"menerapkan norma, standar, pedoman, kriteria dalam perencanaan tata ruang wilayah dan kota.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Ibu Kota Negara (IKN),Ahli Teknik Lingkungan,Future Job,"Melakukan penelitian, memberi saran, mendesain dan mengarahkan implementasi solusi untuk mencegah, mengontrol atau mengoreksi dampak negatif kegiatan manusia terhadap lingkungan dengan memanfaatkan berbagai disiplin ilmu teknik",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Ibu Kota Negara (IKN),Auditor Lingkungan,Future Job,"Melakukan audit lingkungan untuk membantu melakukan perbaikan lingkungan; meninjau kinerja lingkungan suatu bisnis untuk memastikan kepatuhan terhadap peraturan dan standar; memastikan bahwa sistem manajemen lingkungan bekerja secara efektif; mengaudit topik tertentu (misalnya minimisasi imbah, air atau efisiensi energi) untuk mengidentifikasi potensi peluang penghematan biaya; meninjau kinerja pemasok atau kontraktor; melakukan audit dampak produksi, penggunaannya, pembuangan.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Ibu Kota Negara (IKN),Analis Lingkungan,Future Job,"Mengumpulkan, mempelajari dan menganalisa data untuk mengusulkan tindakan dan kebijakan untuk menciptakan interaksi yang lebih ramah lingkungan; melakukan pengumpulan data dan interpretasi, menggunakan informasi untuk menciptakan solusi untuk masalah lingkungan; meneliti sampel yang ikumpulkan di tempat dan melakukan penelitian sejarah untuk menentukan tingkat dan penyebab perubahan lingkungan; melaporkan rekomendasi dan solusi untuk penciptaan kebijakan, ekspansi atau modifikasi prosedur.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Ibu Kota Negara (IKN),Ahli Klimatologi,Future Job,"Mempelajari sifat iklim pada suatu wilayah, dan kaitannya dengan aktivitas manusia; mempelajari perubahan iklim, variabilitas iklim, dan dampak iklim terhadap biosfer; menggunakan komputer untuk memprediksi pengaruh cuaca atau iklim terhadap aktivitas manusia.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Ibu Kota Negara (IKN),Ahli Prakiraan Cuaca,Future Job,Menerapkan ilmu pengetahuan dan teknologi untuk memprediksi keadaan atmosfer untuk lokasi tertentu; mengumpulkan data kuantitatif tentang keadaan atmosfer saat ini pada tempat tertentu dan menggunakan pemahaman ilmiah tentang proses atmosfer untuk memperkirakan keadaan atmosfer yang akan berkembang di tempat tersebut.,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Ibu Kota Negara (IKN),Ahli Hidrometeorologi,Future Job,"Pengukuran, analisis dan pemodelan atmosfer dan proses hubungan antara variabel meteorologi dan curah hujan maksimum yang mencapai tanah sebagai dasar untuk desain pengendalian banjir dan struktur penggunaan air, penentuan probabilitas curah hujan, ruang dan waktu distribusi curah hujan dan penguapan, dan lainnya yang terkait.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Ibu Kota Negara (IKN),Ahli Ekologi,Future Job,"Mempelajari ekosistem secara keseluruhan, kelimpahan dan distribusi organisme (manusia, tumbuhan, hewan), dan hubungan antara organisme dan lingkungannya. melakukan survey lapangan untuk mengumpulkan informasi tentang jumlah dan distribusi organisme; mempelajari taksonomi, pengklasifikasian organisme; menerapkan strategi sampling dan menggunakan berbagai teknik survei habitat, seperti Sistem Informasi Geografis (GIS), Global Positioning System (GPS), foto udara, catatan dan peta; melakukan penilaian dampak lingkungan; menganalisis dan menafsirkan data; manajemen dan penciptaan habitat; menulis laporan dan mengeluarkan rekomendasi; bekerjasama dengan dan menasihati manajer, insinyur, perencana dan lain-lain yang terkait dengan survei; membangun hubungan dengan para pemangku kepentingan, termasuk anggota masyarakat; menyumbangkan ide-ide tentang perubahan kebijakan dan / atau undang-undang, berdasarkan temuan ekologi.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Ibu Kota Negara (IKN),Analis Polusi Udara,Future Job,"Melakukan penelitian, memeriksa dan menyelidiki tingkat polusi udara, dan mengambil langkah yang diperlukan untuk memastikan kualitas udara yang baik sehingga masalah kesehatan masyarakat dapat ditangani; Melakukan penelitian, melakukan tes, mengumpulkan sampel, dan melakukan analisis lapangan dan laboratorium untuk mengidentifikasi sumber-sumber masalah lingkungan dan merekomendasikan cara-cara untuk mencegah, mengendalikan dan memperbaiki; menilai kemungkinan kegiatan yang berdampak potensial terhadap lingkungan, dan merekomendasikan apakah perkembangan tersebut harus dilanjutkan; mengembangkan dan mengkoordinasikan pelaksanaan sistem manajemen lingkungan untuk mengidentifikasi, memantau dan mengendalikan dampak dari kegiatan, produk dan jasa terhadap lingkungan; melakukan audit untuk mengevaluasi dampak lingkungan suatu kegiatan.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Ibu Kota Negara (IKN),Ahli Konservasi,Future Job,"Mengelola, meningkatkan, dan melindungi sumber daya alam untuk memaksimalkan penggunaannya tanpa merusak lingkungan; Dapat melakukan survei tanah dan mengembangkan rencana untuk menghilangkan erosi tanah atau untuk melindunginya; memberi saran kepada petani, manajer produksi pertanian, atau peternak tentang cara rotasi tanaman, membajak dengan kontur, atau terasering untuk konservasi tanah dan air; jumlah dan jenis ternak dan tanaman untuk rentang tertentu; dan perbaikan pertanian.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Kota Baru: Maja, Tanjung Selor, Sofifi, dan Sorong",Perencana Khusus Kawasan,Future Job,,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Kota Baru: Maja, Tanjung Selor, Sofifi, dan Sorong",Analis Kewilayahan,Future Job,"mengidentifikasi kebutuhan substansi, melakukan perencanaan pekerjaan, menyusun spesifikasi teknis pekerjaan, memberikan jasa konsultasi, menganalisis informasi geospasial kewilayahan ",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Kota Baru: Maja, Tanjung Selor, Sofifi, dan Sorong",Analis Proyek,Future Job,"Melakukan analis sistem yang akan dibangun, membuat statement of purpose, memodelkan proses bisnis, membuat dokumentasi hasil analisis.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Kota Baru: Maja, Tanjung Selor, Sofifi, dan Sorong",Ahli Perencana Kota dan Kawasan Tematik,Future Job,"menerapkan norma, standar, pedoman, kriteria dalam perencanaan tata ruang wilayah dan kota.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Wilayah Adat Papua: Wilayah Adat Laa Pago dan Wilayah Adat Domberay,Ahli Etnografi/Ahli Etnologi,Future Job,"mempelajari berbagai suku bangsa dan aspek kebudayaannya, serta hubungan antara satu bangsa dengan bangsa lainnya",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Bencana,"Pusat Kegiatan Strategis Nasional: PKSN Paloh-Aruk, PKSN Nunukan, PKSN Atambua, PKSN Kefamenanu, PKSN Jayapura, & PKSN Merauke",Perencana Khusus Kawasan,Future Job,"merencanakan, mempelajari, dan mengkoordinasikan pembangunan kawasan perkotaan",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Bencana,"Pusat Kegiatan Strategis Nasional: PKSN Paloh-Aruk, PKSN Nunukan, PKSN Atambua, PKSN Kefamenanu, PKSN Jayapura, & PKSN Merauke",Analis Kewilayahan,Future Job,"mengidentifikasi kebutuhan substansi, melakukan perencanaan pekerjaan, menyusun spesifikasi teknis pekerjaan, memberikan jasa konsultasi, menganalisis informasi geospasial kewilayahan ",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Bencana,"Pusat Kegiatan Strategis Nasional: PKSN Paloh-Aruk, PKSN Nunukan, PKSN Atambua, PKSN Kefamenanu, PKSN Jayapura, & PKSN Merauke",Analis Proyek,Future Job,"Melakukan analis sistem yang akan dibangun, membuat statement of purpose, memodelkan proses bisnis, membuat dokumentasi hasil analisis.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Bencana,"Pusat Kegiatan Strategis Nasional: PKSN Paloh-Aruk, PKSN Nunukan, PKSN Atambua, PKSN Kefamenanu, PKSN Jayapura, & PKSN Merauke",Ahli Perencana Kota dan Kawasan Tematik,Future Job,"menerapkan norma, standar, pedoman, kriteria dalam perencanaan tata ruang wilayah dan kota.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Bencana,"Pusat Kegiatan Strategis Nasional: PKSN Paloh-Aruk, PKSN Nunukan, PKSN Atambua, PKSN Kefamenanu, PKSN Jayapura, & PKSN Merauke",Ahli Ekonomi Perkotaan,Future Job,"Membuat daftar data primer dan sekunder yang diperlukan,  Mengumpulkan data mengenai ekonomi perkotaan meliputi sektor formal dan informal, Mengumpulkan data mengenai aspek sosial ekonommi masyarakat,  Melakukan analisis kecendrungan perkembangan kawasan terhadap aktivitas ekonomi dan sosial kota,  Melakukan analisis kualitas kehidupan (sosial, ekonomi, Kultur) atas perkembangan kawasan pusat kota,  Menganalisis prospek / kesempatan pengembangan ekonomi kawasan ke depan,  Menganalisis kendala / hambatan yang dihadapi wilayah perencanaan, terutama karena faktor eksternal,  Menyusun program investasi pengembangan ekonomi kawasan kota.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Kesehatan,Percepatan Penurunan Kematian Ibu dan Stunting,"Konselor Perempuan, Anak, dan Remaja",Future Job,bekerja untuk peningkatan kesehatan dasar dan ketentuan; memberikan bantuan pengobatan gratis kepada warga senior; untuk berjuang untuk perlindungan lingkungan; untuk melindungi perempuan dan hak-hak anak-anak dan pengembangan masyarakat; untuk meningkatkan kesadaran di kalangan mahasiswa muda (khusus siswa perempuan); jaringan di lembaga-lembaga pembangunan sosial; untuk memberikan kredit mikro bagi perempuan pedesaan untuk wanita pemberdayaan.,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur/Pendidikan,Pembangunan Science Techno Park (Optimalisasi Triple Helix di 4 Major Universitas),Perencana Khusus Kawasan,Future Job,"merencanakan, mempelajari, dan mengkoordinasikan pembangunan kawasan perkotaan",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur/Pendidikan,Pembangunan Science Techno Park (Optimalisasi Triple Helix di 4 Major Universitas),Analis Kewilayahan,Future Job,"mengidentifikasi kebutuhan substansi, melakukan perencanaan pekerjaan, menyusun spesifikasi teknis pekerjaan, memberikan jasa konsultasi, menganalisis informasi geospasial kewilayahan ",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur/Pendidikan,Pembangunan Science Techno Park (Optimalisasi Triple Helix di 4 Major Universitas),Analis Proyek,Future Job,"Melakukan analis sistem yang akan dibangun, membuat statement of purpose, memodelkan proses bisnis, membuat dokumentasi hasil analisis.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur/Pendidikan,Pembangunan Science Techno Park (Optimalisasi Triple Helix di 4 Major Universitas),Ahli Perencana Kota dan Kawasan Tematik,Future Job,"menerapkan norma, standar, pedoman, kriteria dalam perencanaan tata ruang wilayah dan kota.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Pendidikan,Pendidikan dan Pelatihan Vokasi untuk Industri 4.0,Pengembang kurikulum,Future Job,"mempunyai ruang lingkup tugas, tanggung jawab, dan wewenang, untuk melaksanakan kegiatan perencanaan pembangunan di Instansi Pusat dan Instansi Daerah",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Sosial,Integrasi Bantuan Sosial Menuju Skema Perlindungan Sosial Menyeluruh,Ahli Jaminan Sosial,Future Job,"Melakukan Penyelenggaraan Kesejahteraan Sosial meliputi pendekatan awal, pengungkapan dan pemecahan masalah, penyusunan rencana intervensi, intervensi, evaluasi, terminasi dan rujukan, serta bimbingan dan pembinaan lanjut",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Jalan Tol Trans Sumatera Aceh – Lampung,Perencana Khusus Kawasan,Future Job,"merencanakan, mempelajari, dan mengkoordinasikan penataan lahan terbangun",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Jalan Tol Trans Sumatera Aceh – Lampung,Analis Kewilayahan,Future Job,"mengidentifikasi kebutuhan substansi, melakukan perencanaan pekerjaan, menyusun spesifikasi teknis pekerjaan, memberikan jasa konsultasi, menganalisis informasi geospasial kewilayahan ",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Jalan Tol Trans Sumatera Aceh – Lampung,Analis Proyek,Future Job,"Melakukan analis sistem yang akan dibangun, membuat statement of purpose, memodelkan proses bisnis, membuat dokumentasi hasil analisis.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,KA Kecepatan Tinggi Pulau Jawa (Jakarta – Semarang dan Jakarta – Bandung),Integrated Urban Transportation Specialist,Future Job,"Melakukan penyusunan rencana dan pekerjana teknis dengan mempertimbangkan perencanaan transportasi urban yang memperhatikan dimensi lingkungan, ekonomi, tata kelola, kesehatan, penyandang disabilitas, akses dan sosial.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Kereta Api Makassar Pare-Pare,Integrated Urban Transportation Specialist,Future Job,"Melakukan penyusunan rencana dan pekerjana teknis dengan mempertimbangkan perencanaan transportasi urban yang memperhatikan dimensi lingkungan, ekonomi, tata kelola, kesehatan, penyandang disabilitas, akses dan sosial.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Kelautan,Jaringan Pelabuhan Utama Terpadu,Shipping and Port Management Specialist,Future Job,"Melakukan manajemen impor ekspor, shipping, operasi port dan manajemen port, manajemen logistics dan dockyard",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Sistem Angkutan Umum Massal Perkotaan di 6 Wilayah Metropolitan: Jakarta, Surabaya, Bandung, Medan, Semarang dan Makassar",Integrated Urban Transportation Specialist,Future Job,"Melakukan penyusunan rencana dan pekerjana teknis dengan mempertimbangkan perencanaan transportasi urban yang memperhatikan dimensi lingkungan, ekonomi, tata kelola, kesehatan, penyandang disabilitas, akses dan sosial.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Energi,Pembangunan dan Pengembangan Kilang Minyak,Teknisi Teknik Perminyakan,Future Job,"melakukan pekerjaan teknis, biasanya dengan petunjuk dan pengawasan ahli teknik kimia (minyak bumi) dalam pengembangan proses untuk memurnikan minyak bumi dan untuk merancang, membangun, mengoperasikan , memelihara dan memperbaiki pabrik pemurnian minyak bumi.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Energi,Pembangunan dan Pengembangan Kilang Minyak,Ahli Teknik Produksi Migas,Future Job,,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Energi,Pembangunan dan Pengembangan Kilang Minyak,Ahli Teknik Pengolahan Migas ,Future Job,"melakukan monitoring, troubleshooting, optimasi dan modifikasi untuk meningkatkan kehandalan dan profit kilang.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Energi,Pembangunan dan Pengembangan Kilang Minyak,Ahli Teknik Instrumentasi Kilang,Future Job,"melakukan pemeliharaan peralatan instrumentasi, troubleshooting dan improvement serta memahami sistem pengendalian dan otomatisasi dengan Programmable Logic Controller (PLC) dan Distributed Control System (DCS).",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Energi,Pembangunan dan Pengembangan Kilang Minyak,Ahli Teknik Mesin Kilang,Future Job,"mengawasi pengoperasian peralatan mesin industri minyak dan gas bumi, petrokimia, dan pembangkitan baik peralatan putar maupu statis.  mengawasi dan merencanakan pemeliharaan peralatan mesin industri minyak, dan gas bumi, petrokimia, dan pembangkitan baik peralatan putar maupun statis. merancang peralatan mesin industri minyak, dan gas bumi, petrokimia, dan pembangkitan baik peralatan putar maupun statis. melakukan inspeksi peralatan mesin industri minyak, dan gas bumi, petrokimia dan pembangkitan baik peralatan putar maupun statis.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
